Record Number	Plant Species	Plant Genus	Plant Family	Mosquito species	Mosquito Species (grouping)	Country of the study	LatDD	LonDD	Number of species of plant studied	Number of attractive plants	Reason of plant selection	Methodology approach	Observation/experimental design	Control/No control	Measurements	Sex	Replicates	General purpose of the study	Detailed purpose of the study	Rick of bias of the study	Study ID	Year
19	Achillea millefolium	Achillea	Asteraceae	Culex restuans	Culex restuans	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
20	Achillea millefolium	Achillea	Asteraceae	Culex pipiens	Culex pipiens	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
21	Achillea millefolium	Achillea	Asteraceae	Culiseta silvestris minnesotae	Culiseta species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
22	Achillea millefolium	Achillea	Asteraceae	Coquillettidia perturbans	Coquillettidia species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
23	Achillea millefolium	Achillea	Asteraceae	Anopheles arabiensis	Anopheles arabiensis	UK	53.97844735	-2.852943909	1	1	Attractive in previous studies	Lab	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"	No	Study of floral odour attraction	Study floral odour attraction	High	Healy_1988_190	1988
24	Achillea millefolium	Achillea	Asteraceae	Anopheles messeae 	Other Anopheles species	Sweden	62.73420986	17.06243199	2	2	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits before hibernation	High	Jaenson_1991_149	1991
25	Achillea millefolium	Achillea	Asteraceae	Aedes sollicitans	Aedes sollicitans	"Connecticut, USA"	41.599998	-72.699997	17	9	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences and gonotrophic activity in females	Low	Magnarelli_1977_105	1977
26	Achillea millefolium	Achillea	Asteraceae	Aedes cantator	Aedes cantator	"Connecticut, USA"	41.599998	-72.699997	17	7	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Magnarelli_1978_33	1978
27	Achillea millefolium	Achillea	Asteraceae	Aedes sollicitans	Aedes sollicitans	"Connecticut, USA"	41.599998	-72.699997	12	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferents and feeding habits during the day and seasonality	Low	Magnarelli_1979_43	1979
28	Achillea millefolium	Achillea	Asteraceae	Aedes cantator 	Aedes cantator	"Connecticut, USA"	41.599998	-72.699997	12	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferents and feeding habits during the day and seasonality	Low	Magnarelli_1979_43	1979
29	Achillea millefolium	Achillea	Asteraceae	Aedes stimulans	Other Aedes species	"Connecticut, USA"	41.599998	-72.699997	7	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferents and feeding habits during the day and seasonality	High	Magnarelli_1983_113	1983
30	Achillea millefolium	Achillea	Asteraceae	Aedes canadensis	Other Aedes species	"Connecticut, USA"	41.599998	-72.699997	7	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferents and feeding habits during the day and seasonality	High	Magnarelli_1983_113	1983
31	Achillea millefolium	Achillea	Asteraceae	Culex pipiens	Culex pipiens	Canada 	57.55048004	-98.41680518	3	3	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of pollination	"Study of mosquito feeding habits, Pollination"	High	Peach_2016_114	2016
32	Achillea millefolium	Achillea	Asteraceae	Culiseta incidens	Culiseta species	Canada 	57.55048004	-98.41680518	3	3	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of pollination	"Study of mosquito feeding habits, Pollination"	High	Peach_2016_114	2016
33	Actaea pachypoda	Actaea	Ranunculaceae	Aedes stimulans	Other Aedes species	"Connecticut, USA"	41.599998	-72.699997	7	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferents and feeding habits during the day and seasonality	High	Magnarelli_1983_113	1983
34	Actaea pachypoda	Actaea	Ranunculaceae	Aedes canadensis	Other Aedes species	"Connecticut, USA"	41.599998	-72.699997	7	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferents and feeding habits during the day and seasonality	High	Magnarelli_1983_113	1983
35	Actaea rubra	Actaea	Ranunculaceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	Not known	19	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Rank intensity of mosquitoes feeding on plants	Females		Study of mosquito plant preferences	Study of mosquito feeding habits and gonotrophic activity in females	Low	Gadawski_1992_111	1992
36	Aegopodium podagraria	Aegopodium	Apiaceae	Aedes communis	Aedes communis	Sweden	62.73420986	17.06243199	8	6	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits depending on nectar availability	High	Andersson_1990_104	1990
37	Ageratina altissima	Ageratina	Asteraceae	Aedes vexans	Aedes vexans	"Ohio, USA"	40.367474	-82.996216	3	3	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	Females		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Vargo_1984_74	1984
38	Ageratina altissima	Ageratina	Asteraceae	Culex restuans	Culex restuans	"Ohio, USA"	40.367474	-82.996216	3	3	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	Females		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Vargo_1984_74	1984
39	Alhagi maurorum	Alhagi	Fabaceae	Anopheles sergentii	Anopheles sergentii	Egypt	26.60517034	30.24013544	40	3	Present and abundant in the study sites	Lab	Plants marked by radiophosphorus	No	Proportion of dyed mosquitoes	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Abdel-Malek_1964_226	1964
40	Amelanchier sanguinea = Amelanchier bartramiana	Amelanchier	Rosaceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	Not known	19	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Rank intensity of mosquitoes feeding on plants	Females		Study of mosquito plant preferences	Study of mosquito feeding habits and gonotrophic activity in females	Low	Gadawski_1992_111	1992
41	Amorphophallus gigas	Amorphophallus	Araceae	Aedes albopictus	Aedes albopictus	Indonesia	0.1559198	113.9653825	1	1	Characteristics of the plant	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of pollination	Study of pollination	High	Rambey_2021_250	2021
42	Anthriscus sylvestris	Anthriscus	Apiaceae	Aedes communis	Aedes communis	Sweden	62.73420986	17.06243199	8	6	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits depending on nectar availability	High	Andersson_1990_104	1990
43	Apocynum androsaemifolium	Apocynum	Apocynaceae	Aedes vexans	Aedes vexans	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
44	Apocynum androsaemifolium	Apocynum	Apocynaceae	Aedes canadensis	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
45	Apocynum androsaemifolium	Apocynum	Apocynaceae	Coquillettidia perturbans	Coquillettidia species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
46	Apocynum androsaemifolium	Apocynum	Apocynaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
47	Apocynum androsaemifolium	Apocynum	Apocynaceae	Aedes trivittatus	Aedes trivittatus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
48	Apocynum androsaemifolium	Apocynum	Apocynaceae	Coquillettidia perturbans	Coquillettidia species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
49	Apocynum medium = Apocynum _ floribundum	Apocynum	Apocynaceae	Aedes trivittatus	Aedes trivittatus	"Ohio, USA"	40.367474	-82.996216	6	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits depending on the time distribution (blood and nectar feeding)	Low	Yee_1992_157	1992
50	Apocynum medium = Apocynum _ floribundum	Apocynum	Apocynaceae	Aedes vexans	Aedes vexans	"Ohio, USA"	40.367474	-82.996216	6	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits depending on the time distribution (blood and nectar feeding)	Low	Yee_1992_157	1992
51	Aquilegia chrysantha	Aquilegia	Ranunculaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
52	Asclepias curassavica	Asclepias	Asclepiadaceae	Aedes aegypti	Aedes aegypti	"Texas, USA"	31.000000	-100	5	5	Attractive in previous studies	Lab	Dye food markers on vegetation	Yes	Proportion of dyed mosquitoes	"Females, Males"	3	Study of mosquito plant preferences	Study of mosquito plant preferences and survival	High	Chen_2015_110	2015
53	Asclepias curassavica	Asclepias	Asclepiadaceae	Culex pipiens	Culex pipiens	"Texas, USA"	31.000000	-100	5	5	Attractive in previous studies	Lab	Dye food markers on vegetation	Yes	Proportion of dyed mosquitoes	"Females, Males"	3	Study of mosquito plant preferences	Study of mosquito plant preferences and survival	High	Chen_2015_110	2015
54	Asclepias incarnata	Asclepias	Apocynaceae	Coquillettidia perturbans	Coquillettidia species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
55	Asclepias syriaca	Asclepias	Apocynaceae	Aedes vexans	Aedes vexans	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
56	Asclepias syriaca	Asclepias	Apocynaceae	Aedes communis	Aedes communis	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
57	Asclepias syriaca	Asclepias	Apocynaceae	Aedes canadensis	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
58	Asclepias syriaca	Asclepias	Apocynaceae	Aedes excrucians	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
59	Asclepias syriaca	Asclepias	Apocynaceae	Aedes fitchii	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
60	Asclepias syriaca	Asclepias	Apocynaceae	Aedes sticticus	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
61	Asclepias syriaca	Asclepias	Apocynaceae	Anopheles walkeri	Other Anopheles species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
62	Asclepias syriaca	Asclepias	Apocynaceae	Anopheles earlei	Other Anopheles species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
63	Asclepias syriaca	Asclepias	Apocynaceae	Anopheles punctipennis	Other Anopheles species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
64	Asclepias syriaca	Asclepias	Apocynaceae	Aedes aurifer	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
65	Asclepias syriaca	Asclepias	Apocynaceae	Culex restuans	Culex restuans	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
66	Asclepias syriaca	Asclepias	Apocynaceae	Culiseta silvestris minnesotae	Culiseta species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
67	Asclepias syriaca	Asclepias	Apocynaceae	Coquillettidia perturbans	Coquillettidia species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
68	Asclepias syriaca	Asclepias	Apocynaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
69	Asclepias syriaca	Asclepias	Apocynaceae	Aedes cinereus	Aedes cinereus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
70	Asclepias syriaca	Asclepias	Apocynaceae	Aedes dorsalis	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
71	Asclepias syriaca	Asclepias	Apocynaceae	Culex restuans	Culex restuans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
72	Asclepias syriaca	Asclepias	Apocynaceae	Aedes vexans	Aedes vexans	"Ohio, USA"	40.367474	-82.996216	6	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits depending on the time distribution (blood and nectar feeding)	Low	Yee_1992_157	1992
73	Asclepias syriaca	Asclepias	Apocynaceae	Aedes trivittatus	Aedes trivittatus	"Ohio, USA"	40.367474	-82.996216	6	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits depending on the time distribution (blood and nectar feeding)	Low	Yee_1992_157	1992
74	Aster alpinus	Aster	Asteraceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
75	Aster divaricatus = Eurybia divaricata	Aster	Asteraceae	Psorophora ferox 	Other mosquito species	"Connecticut, USA"	41.599998	-72.699997	7	2	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits during the day and seasonality	Low	Magnarelli_1980_32	1980
76	Aster lowrieanus = Symphyotrichum cordifolium 	Aster	Asteraceae	Psorophora ferox 	Other mosquito species	"Connecticut, USA"	41.599998	-72.699997	7	2	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits during the day and seasonality	Low	Magnarelli_1980_32	1980
77	Avicennia nitida = Avicennia germinans	Avicennia	Acanthaceae	Aedes taeniorhynchus	Other Aedes species	"Florida, USA"	27.994402	-81.760254	Not known	3	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences and daily feeding habits	High	Haeger_1955_216	1955
78	Avicennia nitida = Avicennia germinans	Avicennia	Acanthaceae	Aedes taeniorhynchus	Other Aedes species	"Florida, USA"	27.994402	-81.760254	Not known	3	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits before migration	High	Haeger_1960_29	1960
79	Barleria lupulina 	Barleria	Acanthaceae	Anopheles coluzzi	Other Anopheles species	Burkina Faso 	12.10870904	-1.693281621	2	2	Present and abundant in the study sites	"Field, Lab"	"Single choice, Cold anthrone method"	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	5	Effects of mosquito feeding behaviour	Effects of mosquito feeding behaviour in malaria transmission	High	Hien_2016_140	2016
80	Bidens spp.	Bidens	Asteraceae	Aedes taeniorhynchus	Other Aedes species	"Florida, USA"	27.994402	-81.760254	Not known	3	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits before migration	High	Haeger_1960_29	1960
